"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 17 04:40:27 UTC 2024","Sun Mar 17 04:41:38 UTC 2024","70956","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Sun Mar 17 04:11:12 UTC 2024","Sun Mar 17 04:11:13 UTC 2024","883","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Sun Mar 17 02:36:50 UTC 2024","Sun Mar 17 02:37:08 UTC 2024","17605","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Sun Mar 17 02:46:38 UTC 2024","Sun Mar 17 02:46:41 UTC 2024","3644","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Sun Mar 17 03:02:45 UTC 2024","Sun Mar 17 03:02:46 UTC 2024","1420","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Sun Mar 17 02:30:41 UTC 2024","Sun Mar 17 02:30:50 UTC 2024","8883","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Sun Mar 17 02:43:35 UTC 2024","Sun Mar 17 02:43:38 UTC 2024","2106","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sun Mar 17 02:58:00 UTC 2024","Sun Mar 17 02:58:12 UTC 2024","11275","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Sun Mar 17 02:46:41 UTC 2024","Sun Mar 17 02:46:42 UTC 2024","377","","6. Company Account","","","","9. Review Final Review",""
"passed","Sun Mar 17 02:37:08 UTC 2024","Sun Mar 17 02:37:12 UTC 2024","4802","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sun Mar 17 02:46:25 UTC 2024","Sun Mar 17 02:46:27 UTC 2024","1965","","6. Company Account","","","","6. Review Review Page",""
"passed","Sun Mar 17 02:57:20 UTC 2024","Sun Mar 17 02:57:31 UTC 2024","10871","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Sun Mar 17 04:08:52 UTC 2024","Sun Mar 17 04:09:02 UTC 2024","9612","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Sun Mar 17 02:43:59 UTC 2024","Sun Mar 17 02:43:59 UTC 2024","396","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Sun Mar 17 02:39:50 UTC 2024","Sun Mar 17 02:39:52 UTC 2024","2482","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Sun Mar 17 02:22:48 UTC 2024","Sun Mar 17 02:23:04 UTC 2024","15948","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
